127,86
126,96
126,95
126,91
126,90
126,88
126,87
126,86
126,85
125,101
125,99
125,98
125,90
125,88
125,87
125,86
125,85
125,83
125,81
125,80
125,77
124,102
124,101
124,100
124,78
124,76
124,75
124,74
123,104
123,103
123,102
123,75
123,74
123,73
123,72
123,70
122,105
122,104
122,70
122,68
122,67
122,66
121,105
121,66
121,65
120,107
120,106
120,65
120,64
120,63
119,108
119,63
119,62
119,61
118,109
118,62
118,61
118,60
117,110
117,60
117,59
117,58
116,111
116,91
116,90
116,88
116,87
116,86
116,84
116,83
116,82
116,58
116,57
116,55
115,99
115,98
115,97
115,96
115,95
115,89
115,88
115,86
115,85
115,84
115,83
115,82
115,81
115,80
115,79
115,57
115,56
115,55
114,114
114,113
114,104
114,103
114,102
114,101
114,100
114,99
114,98
114,78
114,77
114,76
114,54
114,52
113,115
113,114
113,106
113,104
113,103
113,76
113,75
113,74
113,73
113,52
113,50
112,116
112,115
112,95
112,94
112,93
112,74
112,73
112,72
112,52
112,51
112,50
112,49
111,117
111,116
111,109
111,100
111,99
111,98
111,96
111,95
111,94
111,92
111,91
111,90
111,89
111,71
111,70
111,69
111,49
111,48
110,117
110,102
110,101
110,99
110,89
110,88
110,69
110,49
110,48
110,47
109,118
109,117
109,110
109,103
109,87
109,86
109,67
109,66
109,48
109,47
109,46
108,119
108,111
108,103
108,86
108,66
108,48
108,47
108,46
107,111
107,104
107,93
107,85
107,66
107,65
107,45
107,44
106,111
106,92
106,85
106,65
106,44
106,43
105,120
105,111
105,103
105,92
105,44
105,42
104,122
104,120
104,111
104,102
104,92
104,42
104,41
104,40
103,122
103,121
103,111
103,110
103,101
103,100
103,98
103,97
103,96
103,95
103,86
103,41
103,40
102,122
102,110
102,109
102,100
102,88
102,40
101,123
101,122
101,110
101,109
101,108
101,107
101,92
101,90
101,89
101,88
101,56
101,39
101,38
101,37
100,124
100,107
100,106
100,105
100,103
100,95
100,94
100,93
100,92
100,91
100,90
100,89
100,56
100,55
100,54
100,53
100,52
100,51
100,50
100,38
100,37
99,125
99,123
99,105
99,103
99,100
99,99
99,98
99,97
99,96
99,95
99,94
99,48
99,47
99,46
99,44
99,37
98,125
98,124
98,101
98,100
98,99
98,98
98,59
98,57
98,53
98,52
98,51
98,50
98,49
98,48
98,46
98,45
98,44
98,43
98,42
97,60
97,59
97,57
97,56
97,55
97,53
97,52
97,51
97,50
97,49
97,48
97,47
97,46
97,45
97,44
97,43
97,42
97,36
96,126
96,125
96,57
96,56
96,54
96,53
96,52
96,44
96,41
96,40
96,34
95,127
95,126
95,61
95,60
95,57
95,56
95,52
95,51
